StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Condition,RFSF1,RFSF2,RFSF3,RFSF4,RFSF5,RFSF6,RFSF7,RFSF8,RFSF9,RFSF10,RFSF11,RFSF12,RFSF13,RFSF14,RFSF15,RFSF16,RFSF17,RFSF18,RFSF19,RFSF20,RFSF21,RFSF22,RFSF23,RFSF24,RFSF25,RFSF26,RFSF27,RFSF28,RFSF29,RFSF30,Q94,Q95,Q96,Q97,Q98,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q171,Q172,Q173,Q174,Q175,Q182,Q148,Q149,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q158,Q159,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171,Q172,Q176,Q178,Q179,Q180,Q181,Q54,Q55,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q66,Q64,Q65,Q7,Q1,Q2,Q183,Q9,Q10,Q11,Q11_2_TEXT,Q12,Q71,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q159,Q160,Q161,Q162,Q53,Q54,Q54_6_TEXT,Q56,Q57,Q61,Q62,Q62_3_TEXT,Q63,Q51,Q185,id
1/20/22 21:02,1/20/22 21:19,0,70.126.137.102,100,1044,1,1/20/22 21:19,R_31QIWSEiX5EnnF1,,,,,27.98829651,-82.29910278,anonymous,EN,1,1,1,2,2,2,2,4,2,3,4,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,2,2,4,4,3,2,4,2,2,4,4,4,3,2,2,1,1,1,1,1,3,3,3,3,3,3,2,2,5,5,1,1,2,4,3,4,3,2,1,,olive,2,1,2,Title 9 trainings at HCC,1,5,5,3,4,4,6,4,5,3,5,4,2,5,21,2,,2,1,3,3,Baptist,5,2,psychology,
1/20/22 21:56,1/20/22 22:01,0,131.247.226.113,100,290,1,1/20/22 22:01,R_UMkTdk676kzotgJ,,,,,28.06190491,-82.40440369,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,5,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,4,3,4,4,1,1,1,3,6,3,3,3,2,4,Olive,4,2,2,High School,4,2,6,4,7,7,5,2,5,2,6,5,2,7,19,2,,4,1,3,3,Catholic,4,2,Psychology,
1/21/22 7:01,1/21/22 7:23,0,191.96.170.95,100,1295,1,1/21/22 7:23,R_72PCJP6iF8tneEN,,,,,27.94549561,-82.45980072,anonymous,EN,0.899999976,1,3,2,2,3,3,2,1,2,2,1,1,3,2,3,3,4,4,2,3,3,2,2,1,3,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,3,3,1,3,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,2,6,2,5,4,4,2,2,4,4,4,6,3,2,3,olive,4,2,2,US Army,4,4,4,4,4,6,4,4,4,2,2,6,5,7,31,1,,1,1,2,,,1,2,Psychology,
1/21/22 8:04,1/21/22 8:16,0,131.247.224.8,100,720,1,1/21/22 8:16,R_upJ84BC14p1qKBz,,,,,28.06190491,-82.40440369,anonymous,EN,0.899999976,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,4,2,4,olive,5,2,1,,3,1,4,1,2,7,4,2,4,1,5,4,1,5,18,2,,1,1,1,1,,1,2,Biology,
1/21/22 9:15,1/21/22 9:26,0,24.160.105.28,100,680,1,1/21/22 9:26,R_6xUEmOUNv9AOBW1,,,,,28.11470032,-82.36779785,anonymous,EN,1,1,4,2,3,2,1,2,2,2,4,4,3,2,2,1,2,4,2,4,3,4,3,4,2,4,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,4,5,2,4,4,3,2,2,2,3,4,4,3,2,4,olive,1,2,1,,1,4,4,6,4,5,5,5,6,5,4,4,4,4,22,1,,3,1,3,1,,5,2,Medical Biology,45573
1/21/22 9:19,1/21/22 9:27,0,131.247.226.145,100,482,1,1/21/22 9:27,R_yBGEc6U52RnwUnL,,,,,28.06190491,-82.40440369,anonymous,EN,1,1,1,2,2,2,2,3,1,1,2,2,3,2,2,2,3,2,2,3,2,4,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,5,2,2,3,1,4,1,1,,olive,2,2,2,High school,2,4,4,4,4,4,4,4,4,4,4,4,1,4,18,2,,3,1,1,1,,1,2,Elementary Education,45634
1/21/22 9:17,1/21/22 9:34,0,65.33.127.244,100,1028,1,1/21/22 9:34,R_2CUn0SHYf8cAoNW,,,,,28.02059937,-82.45739746,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,6,3,6,3,3,1,1,1,4,2,4,2,1,,olive,4,2,1,,4,1,4,1,1,7,1,4,1,1,1,1,1,7,21,2,,"1,4",1,5,3,Christianity,6,2,Psychology,43756
1/21/22 10:33,1/21/22 10:40,0,131.247.226.119,100,381,1,1/21/22 10:40,R_27muIWxtQ5AES5I,,,,,28.06190491,-82.40440369,anonymous,EN,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,6,3,2,4,olive,3,2,1,,3,2,2,4,4,4,4,4,5,3,3,5,4,6,21,1,,3,1,1,1,,1,2,biomedical science,39644
1/21/22 10:26,1/21/22 10:43,0,131.247.226.54,100,1070,1,1/21/22 10:43,R_2CTw83sxTizxWWM,,,,,28.06190491,-82.40440369,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,1,4,4,3,4,2,4,4,4,2,2,4,4,2,3,2,4,3,2,3,2,1,1,1,1,1,5,4,3,4,1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,1,3,3,3,3,3,4,6,3,6,6,5,4,1,4,3,5,4,3,1,,olive,3,2,1,,2,3,5,3,5,5,2,6,5,2,7,4,1,6,18,1,,1,1,3,3,Roman-Catholic ,3,2,Biological Science,45552
1/21/22 12:01,1/21/22 12:11,0,65.35.141.179,100,570,1,1/21/22 12:11,R_2E4tjLFV2yPIXBA,,,,,28.11470032,-82.36779785,anonymous,EN,1,1,4,3,4,2,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,4,6,3,4,1,1,2,1,2,4,3,2,2,1,,olive,2,2,2,Through required Greek Life trainings ,3,1,2,1,2,5,2,2,1,1,1,1,1,5,20,2,,1,1,3,1,,3,1,Biomedical Sciences ,45671
1/21/22 12:21,1/21/22 12:34,0,131.247.224.16,100,754,1,1/21/22 12:34,R_3eaygagiF3PsMQm,,,,,28.06190491,-82.40440369,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,4,4,4,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,1,1,1,1,1,2,1,1,1,1,,olive,4,2,1,,4,1,1,1,1,7,4,5,4,1,4,2,2,2,19,2,,1,1,1,1,,1,2,Psychology,45474
1/21/22 12:30,1/21/22 12:51,0,24.164.29.154,100,1298,1,1/21/22 12:51,R_3O7TJIxp3fR1TWU,,,,,27.90319824,-82.29109955,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,2,3,3,1,4,4,4,4,3,4,4,4,3,4,3,3,1,4,4,3,2,1,2,1,2,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,1,4,5,4,5,4,4,1,2,2,4,2,2,2,1,,Red,2,1,2,Bloomingdale High School,2,6,7,7,7,5,6,6,7,7,6,5,1,2,20,1,,"1,3",1,1,1,,1,2,Health Sciences,45561
1/21/22 13:06,1/21/22 13:13,0,131.247.224.22,100,446,1,1/21/22 13:13,R_2f7j1G92BlBDiuF,,,,,28.06190491,-82.40440369,anonymous,EN,1,1,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,4,2,2,2,2,2,4,2,4,4,4,2,2,4,4,2,3,2,3,1,3,3,2,3,1,3,3,2,6,6,1,6,6,1,4,4,1,6,2,4,2,1,,olive,4,2,2,online,5,3,7,7,7,4,1,7,1,1,1,6,1,7,20,2,,2,1,3,3,christian,5,2,Biology,45556
1/21/22 14:33,1/21/22 14:47,0,47.197.57.74,100,794,1,1/21/22 14:47,R_31TNeSJt5PClNpf,,,,,28.23649597,-82.3289032,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,5,3,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,3,3,3,2,1,2,2,1,1,4,3,4,2,1,4,2,2,olive,2,2,1,,2,4,5,3,5,5,6,4,5,2,2,1,1,5,19,2,,3,1,3,3,Hindu,3,2,Psychology,45628
